,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
232,121.570786,,73.78338,115.982765,,71.449814,2.0815706
233,120.12767,,74.03107,116.506676,,85.90777,2.116464
234,119.47788,,74.093346,116.97684,,136.61972,2.1599958
235,119.09468,,75.976074,117.50041,,325.2671,2.187613
236,118.73539,,77.96909,117.9689,,657.1661,2.2144988
237,112.77577,,79.26777,118.494125,,639.4905,2.2294173
238,105.68228,,85.29657,119.01812,,235.13647,2.3126647
239,108.20231,,92.91248,119.48724,,196.25107,2.359467
240,118.092865,,88.583984,120.010704,,586.3994,2.2593465
241,121.86157,,78.8758,120.48158,,1298.5952,2.1948566
242,120.33905,,85.59341,121.004265,,1307.4022,2.2045686
243,120.05214,,123.62266,121.47408,,960.3008,2.2181575
244,119.50324,,125.0119,121.99743,,1197.3613,2.2069016
245,117.247765,,84.63176,122.52085,,1762.1233,2.1666887
246,115.66341,,81.632706,122.99042,,1944.0397,2.1473243
247,116.16485,,80.06131,123.51359,,1950,2.128682
248,117.23525,,80.90516,123.98416,,1950,2.13093
249,116.71822,,79.58101,124.50769,,1950,2.1152527
250,115.425385,,76.548355,124.97655,,1950,2.097355
251,115.51944,,75.818275,125.501045,,1950,2.1295862
252,118.45241,,79.26328,126.025764,,1950,2.1391823
253,122.623314,,77.74272,126.49452,,1950,2.11525
254,123.56134,,74.68203,127.01805,,1950,2.1239014
255,121.39777,,74.4851,127.488525,,1950,2.1305654
256,122.90982,,75.73503,128.01192,,1950,2.1033654
257,124.09287,,77.59082,128.48137,,1950,2.0937233
258,123.57474,,78.24457,129.00476,,1950,2.0996149
259,123.3688,,82.394,129.52812,,1950,2.1359236
260,118.928894,,85.92225,129.99805,,1950,2.1638048
261,110.33255,,83.349976,130.52051,,1880.3584,2.1853843
262,109.175674,,81.10352,130.9915,,1272.2552,2.199213
263,115.49402,,82.62675,131.51498,,383.91522,2.152799
264,118.127144,,90.18618,131.98419,,86.54002,2.194681
265,114.8885,,101.33599,132.50798,,50.225067,2.3025484
